KODE WILAYAH;PERUSAHAAN;SEKTOR;JML TK;ALAMAT;MAPS;DISABILITAS;JUMLAH BPJS KETENAGAKERJAAN;JUMLAH BPJS KESEHATAN;PP/PKB;LKS BIPARTIT
35.18.16;PT. Mahatma Agro, Rejoso;Perdagangan Pupuk Pertanian;83;Jl. Tamanan No 1, Sidokare, Kec. Rejoso, Kabupaten Nganjuk;https://www.google.com/maps/dir//Sidokare,+Kec.+Rejoso,+Kabupaten+Nganjuk,+Jawa+Timur+64453/@-7.5611488,111.7981798,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x2e784aa2735b72e1:0xafb737121bca271a!2m2!1d111.8805815!2d-7.5611564?entry=ttu ;0;73;0;√;√
35.18.10;PT. Indoprima Gemilang Plant 1;Industri Kabel;804;Jl. Panglima Sudirman, Plimping, Gebangkerep, Kec. Baron, Kabupaten Nganjuk;https://www.google.com/maps/dir/-7.6111328,111.9053941/pt.+indoprima+gemilang+plant+1+nganjuk/@-7.6155552,111.8210951,11z/data=!3m1!4b1!4m9!4m8!1m1!4e1!1m5!1m1!1s0x2e784615820a8677:0xb35a15cac1ed6f0e!2m2!1d112.0681915!2d-7.6066775?entry=ttu ;2;781;0;√;
35.18.11;PT. Sumber Alfaria Trijaya, Tbk;Retail;293;Jl. Jenderal Ahmad Yani, RT 001/01, Warujayeng, Kec. Tanjunganom, Kab. Nganjuk;https://www.google.com/maps/dir/-7.6111328,111.9053941/PT.+Sumber+Alfaria+Trijaya,+Tbk+tanjunganom/@-7.6197675,111.8787074,12z/data=!3m1!4b1!4m9!4m8!1m1!4e1!1m5!1m1!1s0x2e7848c9ad910517:0x9f3e6374bea0ced5!2m2!1d112.0186318!2d-7.6292558?entry=ttu ;0;293;0;;
35.18.14;PT. Agro Bumi Timur, Bagor;Perdagangan Pupuk Pertanian;64;"Jl. Diponegoro No. 63, Ds. Banarankulon 
Kec. Bagor, Kab. Nganjuk";https://www.google.com/maps/place/CV.+Andhini+Duta+Petani/@-7.5569547,111.8603431,17z/data=!3m1!4b1!4m6!3m5!1s0x2e784bcdb39e08b7:0x7aa88327010916d2!8m2!3d-7.55696!4d111.862918!16s%2Fg%2F11h77m3fn3?entry=ttu ;0;48;0;√;√
35.18.14;PT. Kharisma Baru Indonesia, Bagor;Industri Sepatu;409;Jl. Guyangan 88, Kerepkidul, Bagor, Nganjuk, Jawa Timur;https://www.google.com/maps/search/PT.+Kharisma+Baru+Indonesia,+Bagor/@-7.5568623,111.821718,13z/data=!3m1!4b1?entry=ttu ;2;409;5;√;√
35.18.14;PT. Tirta Sukses Perkasa, Sukomoro;Industri Minuman Kemasan;156;Jl. Panglima Sudirman No.6, Pehserut, Kec. Sukomoro, Kab. Nganjuk;https://www.google.com/maps/place/PT.+Tirta+Sukses+Perkasa/@-7.6011707,111.9311769,17z/data=!3m1!4b1!4m6!3m5!1s0x2e784bc8ce23a985:0xeda54a86b2af5b00!8m2!3d-7.601176!4d111.9337518!16s%2Fg%2F11cp7921r4?entry=ttu ;4;156;0;√;√
35.18.14;PT. Lotus Indah Textile Industries, Sukomoro;Industri Benang;1113;Jl. Raya Nganjuk, Kedungsuko, Kertosono, Kec. Sukomoro, Kabupaten Nganjuk;https://www.google.com/maps/place/PT.+Lotus+Indah+Textile/@-7.6038542,111.9711593,17z/data=!3m1!4b1!4m6!3m5!1s0x2e784a5710656f71:0x3d3aabe378d5fd6a!8m2!3d-7.6038595!4d111.9737342!16s%2Fg%2F11s5bwds7q?entry=ttu ;3;1067;0;√;
35.18.14;PT. Langgeng Jaya Makmur, Bagor; jasa transportasi dan logistik;816;Jl. Dipoyono No.14, Guyangan, Kec. Bagor, Kab. Nganjuk;https://www.google.com/maps/place/PT+Langgeng+Jaya+Makmur/@-7.5833774,111.8760005,17z/data=!3m1!4b1!4m6!3m5!1s0x2e784ac2f33ed44b:0xc12557a457d325c!8m2!3d-7.5833827!4d111.8785754!16s%2Fg%2F1hm1wv1x6?entry=ttu ;2;812;0;√;√
35.18.11;PT. Cipta Karya Mansurin;Jasa Outsourcing;51;Jalan Ahmad Yani ruko Kav 5, Warujayeng, Kec. Tanjunganom, Kab. Nganjuk;https://www.google.com/maps/place/Pt.+Cipta+karya+manshurin/@-7.6318251,112.0131356,17z/data=!4m10!1m2!2m1!1sPT.+Cipta+Karya+Mansurin!3m6!1s0x2e784f4bdcfb5881:0xe0630e7cfec6e87f!8m2!3d-7.6318251!4d112.0176417!15sChlQVC4gQ2lwdGEgS2FyeWEgTWFuc2h1cmlukgEQY29ycG9yYXRlX29mZmljZeABAA!16s%2Fg%2F11j0bqyrvj?entry=ttu ;0;46;0;;
35.18.13;PR. Mangga Gandeng;Industri Rokok;346;Jl. Ahmad Yani No.153, Payaman, Kec. Nganjuk, Kabupaten Nganjuk;https://www.google.com/maps/place/PR.+MANGGA+GANDENG/@-7.608272,111.7558827,12z/data=!4m10!1m2!2m1!1sPR.+Mangga+Gandeng!3m6!1s0x2e784b09202df869:0xb951000b99adbe38!8m2!3d-7.608272!4d111.9000783!15sChJQUi4gTWFuZ2dhIEdhbmRlbmeSARBjb3Jwb3JhdGVfb2ZmaWNl4AEA!16s%2Fg%2F11g9vrdwdq?entry=ttu ;0;40;7;;√
35.18.08;PT. Sinergi Gula Nusantara;Industri Gula Pasir;406;Jalan Raya Lestari, Ngrombot, Patianrowo, Kertosono, Nganjuk;https://www.google.com/maps/place/PT+Sinergi+Gula+Nusantara/@-7.2379642,112.7347735,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7f93cc74650a9:0xefdbe35c9fef2f19!8m2!3d-7.2379695!4d112.7373484!16s%2Fg%2F11s21kvnct?entry=ttu ;1;406;0;;√
35.18.13;PT. BRI (Persero), Tbk;Perbankan;501;Jl. Gatot Subroto No.11, Kauman, Kec. Nganjuk, Kabupaten Nganjuk;https://www.google.com/maps/place/Bank+Rakyat+Indonesia+(Persero).+PT/@-7.5990179,111.7548316,12z/data=!4m10!1m2!2m1!1sPT.+BRI+(Persero),+Tbk+nganjuk!3m6!1s0x2e784afd6b7cd4ef:0xfb9d429afd85ddf2!8m2!3d-7.5990179!4d111.8990272!15sCh5QVC4gQlJJIChQZXJzZXJvKSwgVGJrIG5nYW5qdWsiA4gBAVocIhpwdCBicmkgcGVyc2VybyB0Ymsgbmdhbmp1a5IBBGJhbmuaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTXdhRFZUYWxOM0VBReABAA!16s%2Fg%2F1pzspngrv?entry=ttu ;0;483;0;;√
